  Depth   SampleID      Ti        Ta        P1       P1sigma      P2       P2sigma      DA       DAsigma  
   32.045     77      -16.4     -15.6       2.2155     0.0001     2.2001     0.0003    0.01543    0.00025 
   32.050     77      -16.4     -15.6       2.2203     0.0001     2.2069     0.0001    0.01340    0.00010 
   32.055     77      -16.4     -16.2       2.2204     0.0001     2.2113     0.0002    0.00913    0.00025 
   32.060     77      -16.4     -16.6       2.2144     0.0003     2.2084     0.0004    0.00593    0.00072 
   32.065     77      -16.0     -16.4       2.2066     0.0003     2.1969     0.0003    0.00970    0.00020 
   32.070     77      -15.9     -16.6       2.2033     0.0002     2.1861     0.0009    0.01727    0.00083 
   32.075     77      -16.6     -17.3       2.2042     0.0003     2.1830     0.0004    0.02113    0.00012 
   32.080     77      -16.1     -16.9       2.2083     0.0005     2.1889     0.0003    0.01943    0.00074 
   32.085     77      -16.4     -17.3       2.2136     0.0001     2.1959     0.0001    0.01770    0.00010 
   32.090     77      -16.3     -17.2       2.2119     0.0005     2.1947     0.0001    0.01723    0.00049 
   32.095     77      -16.3     -17.0       2.2043     0.0003     2.1866     0.0002    0.01767    0.00025 
   32.100     77      -16.1     -16.7       2.1941     0.0005     2.1777     0.0005    0.01637    0.00015 
   32.105     77      -16.7     -17.0       2.1869     0.0011     2.1726     0.0014    0.01437    0.00025 
   32.110     77      -16.4     -16.5       2.1899     0.0011     2.1775     0.0006    0.01247    0.00057 
   32.115     77      -16.1     -16.2       2.1966     0.0003     2.1859     0.0002    0.01070    0.00036 
   32.120     77      -16.5     -16.5       2.2000     0.0009     2.1897     0.0004    0.01037    0.00050 
   32.125     77      -16.2     -16.1       2.2035     0.0009     2.1919     0.0006    0.01167    0.00080 
   32.130     77      -16.2     -16.0       2.2085     0.0002     2.1964     0.0005    0.01210    0.00036 
   32.135     77      -16.1     -15.8       2.2026     0.0016     2.1899     0.0007    0.01270    0.00156 
   32.140     77      -16.5     -16.2       2.1910     0.0008     2.1773     0.0017    0.01370    0.00106 
   32.145     77      -16.6     -16.2       2.1771     0.0010     2.1662     0.0024    0.01093    0.00197 
   32.150     77      -16.5     -16.0       2.1868     0.0004     2.1740     0.0012    0.01283    0.00158 
   32.155     77      -16.5     -15.9       2.1982     0.0023     2.1850     0.0012    0.01317    0.00197 
   32.185     78      -16.5     -16.8       2.2057     0.0001     2.1821     0.0007    0.02360    0.00062 
   32.190     78      -16.5     -17.0       2.2148     0.0018     2.1917     0.0014    0.02313    0.00040 
   32.195     78      -16.2     -16.7       2.2177     0.0018     2.1975     0.0016    0.02023    0.00021 
   32.200     78      -16.6     -17.1       2.2187     0.0012     2.2004     0.0009    0.01823    0.00025 
   32.205     78      -16.5     -17.0       2.2197     0.0007     2.2032     0.0007    0.01647    0.00038 
   32.210     78      -16.3     -16.9       2.2195     0.0009     2.2049     0.0009    0.01460    0.00010 
   32.215     78      -16.2     -16.9       2.2196     0.0010     2.2053     0.0006    0.01437    0.00049 
   32.220     78      -16.1     -16.7       2.2186     0.0002     2.2033     0.0006    0.01530    0.00035 
   32.225     78      -16.2     -16.6       2.2159     0.0009     2.1985     0.0007    0.01737    0.00035 
   32.230     78      -16.3     -16.7       2.2133     0.0002     2.1950     0.0003    0.01827    0.00045 
   32.235     78      -16.1     -16.3       2.2077     0.0003     2.1912     0.0001    0.01650    0.00017 
   32.240     78      -16.6     -16.7       2.1980     0.0005     2.1849     0.0009    0.01310    0.00139 
   32.245     78      -16.5     -16.4       2.1898     0.0006     2.1808     0.0008    0.00903    0.00135 
   32.250     78      -16.4     -16.2       2.1917     0.0005     2.1843     0.0008    0.00740    0.00060 
   32.255     78      -16.0     -15.8       2.1965     0.0005     2.1864     0.0009    0.01017    0.00060 
   32.260     78      -16.1     -15.8       2.2013     0.0007     2.1881     0.0008    0.01320    0.00017 
   32.265     78      -16.6     -16.2       2.2040     0.0016     2.1888     0.0011    0.01523    0.00049 
   32.270     78      -16.1     -15.6       2.2106     0.0005     2.1957     0.0011    0.01490    0.00061 
   32.275     78      -16.6     -16.0       2.2168     0.0003     2.2036     0.0004    0.01313    0.00064 
   32.280     78      -16.5     -15.9       2.2183     0.0004     2.2049     0.0002    0.01343    0.00057 
   32.285     78      -16.4     -15.7       2.2164     0.0009     2.1993     0.0002    0.01707    0.00067 
   32.290     78      -16.6     -15.9       2.2137     0.0010     2.1938     0.0007    0.01997    0.00035 
   32.295     78      -16.6     -15.9       2.2144     0.0010     2.1952     0.0013    0.01913    0.00047 
   32.300     78      -16.3     -15.6       2.2150     0.0006     2.1972     0.0008    0.01780    0.00026 
   32.305     78      -16.4     -15.7       2.2119     0.0009     2.1944     0.0012    0.01753    0.00029 
   32.310     78      -16.3     -15.6       2.2088     0.0004     2.1903     0.0005    0.01847    0.00021 
   32.315     78      -16.5     -15.7       2.2130     0.0002     2.1938     0.0006    0.01927    0.00061 
   32.320     78      -16.0     -15.2       2.2212     0.0003     2.2037     0.0005    0.01750    0.00026 
   32.325     78      -15.8     -15.5       2.2306     0.0007     2.2150     0.0006    0.01557    0.00015 
   32.330     78      -15.8     -15.9       2.2380     0.0002     2.2223     0.0003    0.01563    0.00046 
   32.335     78      -16.5     -17.0       2.2410     0.0005     2.2234     0.0003    0.01753    0.00047 
   32.340     78      -16.4     -17.0       2.2412     0.0006     2.2220     0.0002    0.01920    0.00035 
   32.345     78      -16.4     -17.1       2.2414     0.0004     2.2239     0.0003    0.01750    0.00036 
   32.350     78      -16.5     -17.3       2.2353     0.0005     2.2209     0.0006    0.01440    0.00087 
   32.355     78      -16.5     -17.2       2.2228     0.0002     2.2127     0.0006    0.01010    0.00053 
   32.360     78      -16.1     -16.9       2.2184     0.0012     2.2052     0.0002    0.01323    0.00117 
   32.365     78      -16.5     -17.2       2.2201     0.0014     2.2018     0.0016    0.01827    0.00031 
   32.370     78      -16.1     -16.6       2.2252     0.0005     2.2040     0.0004    0.02113    0.00061 
   32.375     78      -16.1     -16.4       2.2222     0.0004     2.2027     0.0006    0.01947    0.00050 
   32.380     78      -16.0     -16.2       2.2131     0.0007     2.1978     0.0002    0.01533    0.00080 
   32.385     78      -16.2     -16.3       2.1951     0.0011     2.1861     0.0007    0.00897    0.00112 
   32.390     78      -16.0     -16.0       2.1849     0.0034     2.1711     0.0004    0.01383    0.00318 
   32.395     78      -16.5     -16.4       2.1568     0.0018     2.1520     0.0021    0.00483    0.00080 
   32.400     78      -16.4     -16.2       2.1630     0.0015     2.1598     0.0011    0.00327    0.00046 
   32.405     78      -16.5     -16.2       2.1743     0.0007     2.1743     0.0007    0.00000    0.00000 
   32.410     78      -16.5     -16.2       2.1876     0.0004     2.1825     0.0006    0.00513    0.00021 
   32.415     78      -16.2     -15.8       2.1967     0.0005     2.1856     0.0025    0.01113    0.00283 
   32.420     78      -16.3     -15.8       2.2004     0.0001     2.1910     0.0005    0.00937    0.00040 
   32.425     78      -16.3     -15.7       2.1969     0.0002     2.1873     0.0005    0.00960    0.00035 
   32.430     78      -16.1     -15.5       2.1894     0.0005     2.1789     0.0017    0.01047    0.00202 
   32.435     78      -16.2     -15.6       2.1854     0.0011     2.1760     0.0002    0.00940    0.00092 
   32.440     78      -16.4     -15.8       2.1838     0.0002     2.1748     0.0009    0.00900    0.00104 
   32.445     78      -16.2     -15.5       2.1807     0.0010     2.1719     0.0017    0.00883    0.00261 
   32.450     78      -16.2     -15.5       2.1855     0.0003     2.1761     0.0002    0.00937    0.00050 
   32.455     78      -16.4     -15.7       2.1969     0.0002     2.1864     0.0001    0.01050    0.00017 
   32.460     78      -15.9     -15.2       2.2072     0.0005     2.1961     0.0005    0.01117    0.00084 
   32.465     78      -15.7     -15.0       2.2107     0.0007     2.1968     0.0003    0.01390    0.00060 
   32.470     78      -16.1     -16.0       2.2065     0.0008     2.1888     0.0003    0.01773    0.00078 
   32.475     78      -16.1     -16.4       2.1988     0.0015     2.1768     0.0011    0.02193    0.00046 
   32.480     78      -15.8     -16.4       2.1994     0.0009     2.1780     0.0005    0.02140    0.00056 
   32.485     78      -16.2     -17.0       2.2037     0.0008     2.1846     0.0006    0.01907    0.00023 
   32.490     78      -16.3     -17.1       2.2058     0.0006     2.1897     0.0007    0.01613    0.00021 
   32.495     78      -15.9     -16.7       2.2041     0.0003     2.1901     0.0005    0.01400    0.00046 
   32.500     78      -16.4     -17.2       2.1997     0.0001     2.1895     0.0015    0.01023    0.00142 
   32.505     78      -16.2     -17.0       2.1989     0.0004     2.1936     0.0002    0.00523    0.00021 
   32.510     78      -16.3     -16.9       2.2030     0.0006     2.1942     0.0009    0.00887    0.00086 
   32.515     78      -15.9     -16.3       2.2068     0.0001     2.1934     0.0006    0.01343    0.00050 
   32.520     78      -16.0     -16.2       2.2068     0.0003     2.1918     0.0003    0.01500    0.00036 
   32.525     78      -16.4     -16.6       2.2056     0.0003     2.1903     0.0002    0.01527    0.00040 
   32.530     78      -16.3     -16.4       2.2039     0.0003     2.1879     0.0001    0.01603    0.00031 
   32.535     78      -16.4     -16.4       2.1996     0.0005     2.1820     0.0005    0.01760    0.00075 
   32.585     79      -15.4     -15.4       2.2347     0.0002     2.2102     0.0005    0.02457    0.00045 
   32.590     79      -15.9     -15.7       2.2379     0.0003     2.2123     0.0003    0.02553    0.00006 
   32.595     79      -15.4     -15.1       2.2408     0.0002     2.2135     0.0003    0.02723    0.00012 
   32.600     79      -15.4     -15.1       2.2425     0.0003     2.2139     0.0003    0.02867    0.00006 
   32.605     79      -15.6     -15.2       2.2438     0.0003     2.2145     0.0003    0.02923    0.00006 
   32.610     79      -15.8     -15.4       2.2438     0.0004     2.2154     0.0007    0.02843    0.00038 
   32.615     79      -15.8     -15.3       2.2437     0.0004     2.2160     0.0007    0.02773    0.00050 
   32.620     79      -15.6     -15.1       2.2447     0.0005     2.2170     0.0008    0.02773    0.00071 
   32.625     79      -15.7     -15.2       2.2465     0.0004     2.2201     0.0004    0.02640    0.00040 
   32.630     79      -15.2     -14.7       2.2493     0.0008     2.2245     0.0004    0.02487    0.00047 
   32.635     79      -15.5     -15.4       2.2545     0.0005     2.2304     0.0005    0.02417    0.00015 
   32.640     79      -15.3     -15.7       2.2566     0.0004     2.2321     0.0007    0.02453    0.00050 
   32.645     79      -15.7     -16.5       2.2557     0.0005     2.2309     0.0007    0.02483    0.00035 
   32.650     79      -15.8     -16.6       2.2546     0.0007     2.2285     0.0010    0.02610    0.00040 
   32.655     79      -15.5     -16.5       2.2558     0.0015     2.2274     0.0017    0.02833    0.00021 
   32.660     79      -15.4     -16.4       2.2541     0.0001     2.2230     0.0002    0.03110    0.00010 
   32.665     79      -15.8     -16.8       2.2525     0.0001     2.2208     0.0002    0.03173    0.00015 
   32.670     79      -16.0     -17.0       2.2517     0.0001     2.2224     0.0001    0.02923    0.00015 
   32.675     79      -16.0     -16.9       2.2569     0.0005     2.2308     0.0002    0.02603    0.00032 
   32.680     79      -15.9     -16.7       2.2635     0.0008     2.2402     0.0005    0.02333    0.00031 
   32.685     79      -15.5     -16.1       2.2678     0.0005     2.2464     0.0003    0.02143    0.00023 
   32.690     79      -16.1     -16.5       2.2662     0.0003     2.2454     0.0004    0.02077    0.00015 
   32.695     79      -16.1     -16.4       2.2605     0.0004     2.2406     0.0002    0.01990    0.00026 
   32.700     79      -15.7     -15.9       2.2533     0.0005     2.2349     0.0003    0.01837    0.00035 
   32.705     79      -15.9     -16.0       2.2439     0.0008     2.2257     0.0003    0.01823    0.00095 
   32.710     79      -16.0     -16.0       2.2304     0.0005     2.2105     0.0011    0.01990    0.00125 
   32.715     79      -16.1     -16.0       2.2187     0.0004     2.1963     0.0008    0.02243    0.00045 
   32.720     79      -15.6     -15.5       2.2251     0.0004     2.2013     0.0012    0.02377    0.00123 
   32.725     79      -15.7     -15.5       2.2415     0.0004     2.2162     0.0022    0.02527    0.00184 
   32.730     79      -15.9     -15.6       2.2572     0.0007     2.2303     0.0013    0.02683    0.00110 
   32.735     79      -15.4     -15.0       2.2659     0.0011     2.2377     0.0011    0.02823    0.00055 
   32.740     79      -16.0     -15.6       2.2645     0.0007     2.2396     0.0008    0.02493    0.00035 
   32.745     79      -15.9     -15.5       2.2535     0.0006     2.2342     0.0006    0.01927    0.00021 
   32.750     79      -15.8     -15.3       2.2390     0.0002     2.2246     0.0007    0.01443    0.00065 
   32.755     79      -15.8     -15.2       2.2317     0.0003     2.2166     0.0002    0.01507    0.00038 
   32.760     79      -15.9     -15.4       2.2303     0.0005     2.2119     0.0010    0.01847    0.00064 
   32.765     79      -15.4     -14.9       2.2323     0.0004     2.2101     0.0008    0.02227    0.00040 
   32.770     79      -16.0     -15.4       2.2360     0.0006     2.2119     0.0004    0.02410    0.00026 
   32.775     79      -15.7     -15.3       2.2379     0.0007     2.2139     0.0006    0.02403    0.00055 
   32.780     79      -15.5     -15.6       2.2351     0.0007     2.2150     0.0008    0.02003    0.00086 
   32.785     79      -15.9     -16.4       2.2322     0.0001     2.2157     0.0006    0.01653    0.00064 
   32.790     79      -16.0     -16.6       2.2336     0.0005     2.2175     0.0010    0.01603    0.00100 
   32.795     79      -15.6     -16.4       2.2393     0.0002     2.2211     0.0007    0.01813    0.00051 
   32.800     79      -16.0     -17.0       2.2463     0.0006     2.2262     0.0002    0.02013    0.00060 
   32.805     79      -15.8     -16.8       2.2538     0.0002     2.2322     0.0009    0.02163    0.00072 
   32.810     79      -15.9     -17.0       2.2572     0.0000     2.2358     0.0008    0.02143    0.00078 
   32.815     79      -15.7     -16.9       2.2582     0.0001     2.2364     0.0006    0.02183    0.00050 
   32.820     79      -15.8     -16.7       2.2511     0.0005     2.2290     0.0007    0.02213    0.00085 
   32.825     79      -15.8     -16.5       2.2347     0.0009     2.2128     0.0003    0.02187    0.00095 
   32.830     79      -16.0     -16.5       2.2141     0.0009     2.1933     0.0017    0.02083    0.00112 
   32.835     79      -16.0     -16.4       2.2036     0.0002     2.1869     0.0013    0.01667    0.00140 
   32.840     79      -15.7     -15.9       2.2110     0.0008     2.1971     0.0018    0.01393    0.00098 
   32.845     79      -15.8     -15.9       2.2259     0.0002     2.2145     0.0023    0.01143    0.00240 
   32.850     79      -16.3     -16.3       2.2361     0.0001     2.2238     0.0008    0.01227    0.00080 
   32.855     79      -16.3     -16.2       2.2383     0.0006     2.2235     0.0007    0.01477    0.00114 
   32.860     79      -16.2     -16.0       2.2376     0.0008     2.2207     0.0005    0.01690    0.00035 
   32.865     79      -15.9     -15.7       2.2365     0.0006     2.2210     0.0008    0.01557    0.00060 
   32.870     79      -16.2     -15.9       2.2324     0.0003     2.2193     0.0006    0.01313    0.00040 
   32.875     79      -16.3     -15.9       2.2244     0.0008     2.2136     0.0008    0.01080    0.00020 
   32.880     79      -16.2     -15.8       2.2187     0.0001     2.2054     0.0023    0.01330    0.00236 
   32.885     79      -16.1     -15.7       2.2215     0.0003     2.2099     0.0006    0.01157    0.00050 
   32.890     79      -15.6     -15.1       2.2248     0.0008     2.2153     0.0007    0.00950    0.00056 
   32.895     79      -16.0     -15.4       2.2282     0.0004     2.2218     0.0009    0.00640    0.00125 
   32.900     79      -15.9     -15.4       2.2282     0.0003     2.2202     0.0005    0.00807    0.00046 
   32.905     79      -16.1     -15.6       2.2255     0.0006     2.2136     0.0004    0.01183    0.00023 
   32.910     79      -15.6     -15.0       2.2243     0.0003     2.2106     0.0009    0.01370    0.00098 
   32.915     79      -15.7     -15.1       2.2276     0.0005     2.2136     0.0007    0.01407    0.00047 
   32.920     79      -15.7     -15.1       2.2350     0.0003     2.2193     0.0008    0.01570    0.00056 
   32.925     79      -15.5     -15.2       2.2407     0.0005     2.2245     0.0007    0.01620    0.00072 
   32.930     79      -15.9     -16.2       2.2409     0.0000     2.2271     0.0003    0.01380    0.00030 
   32.935     79      -16.0     -16.5       2.2388     0.0004     2.2274     0.0010    0.01140    0.00075 
   32.940     79      -15.9     -16.5       2.2441     0.0009     2.2326     0.0006    0.01147    0.00086 
   32.945     79      -16.0     -16.8       2.2508     0.0005     2.2374     0.0009    0.01333    0.00067 
   32.950     79      -16.2     -17.1       2.2538     0.0002     2.2389     0.0011    0.01493    0.00095 
   32.955     79      -15.9     -16.9       2.2499     0.0004     2.2343     0.0010    0.01560    0.00072 
   32.960     79      -16.3     -17.3       2.2323     0.0007     2.2190     0.0006    0.01333    0.00055 
   32.965     79      -15.8     -16.8       2.2080     0.0006     2.1998     0.0010    0.00813    0.00060 
   32.970     79      -16.2     -17.0       2.1915     0.0010     2.1865     0.0009    0.00500    0.00017 
   32.975     79      -16.0     -16.6       2.1893     0.0002     2.1824     0.0019    0.00697    0.00206 
   32.980     79      -16.4     -16.8       2.1967     0.0005     2.1872     0.0005    0.00950    0.00070 
   33.015     80      -16.7     -16.4       2.2052     0.0004     2.1936     0.0015    0.01167    0.00188 
   33.020     80      -16.4     -16.1       2.2069     0.0003     2.1949     0.0007    0.01197    0.00057 
   33.025     80      -16.7     -16.3       2.2088     0.0003     2.1948     0.0008    0.01400    0.00104 
   33.030     80      -16.5     -16.0       2.2100     0.0007     2.1942     0.0010    0.01577    0.00025 
   33.035     80      -16.4     -15.9       2.2172     0.0003     2.2010     0.0006    0.01617    0.00045 
   33.040     80      -16.7     -16.1       2.2243     0.0001     2.2101     0.0007    0.01420    0.00070 
   33.045     80      -16.5     -15.9       2.2272     0.0006     2.2159     0.0007    0.01130    0.00101 
   33.050     80      -16.7     -16.1       2.2199     0.0005     2.2122     0.0005    0.00763    0.00090 
   33.055     80      -16.5     -15.8       2.2120     0.0006     2.2062     0.0001    0.00580    0.00061 
   33.060     80      -16.8     -16.1       2.2103     0.0003     2.2033     0.0002    0.00697    0.00038 
   33.065     80      -16.4     -15.7       2.2249     0.0001     2.2108     0.0003    0.01413    0.00023 
   33.070     80      -16.5     -15.8       2.2368     0.0002     2.2188     0.0004    0.01797    0.00032 
   33.075     80      -16.5     -15.7       2.2407     0.0004     2.2217     0.0009    0.01897    0.00047 
   33.080     80      -16.6     -15.8       2.2337     0.0007     2.2173     0.0021    0.01647    0.00155 
   33.085     80      -16.6     -15.8       2.2291     0.0009     2.2192     0.0006    0.00993    0.00142 
   33.090     80      -16.0     -15.3       2.2283     0.0003     2.2197     0.0007    0.00857    0.00059 
   33.095     80      -16.4     -16.5       2.2250     0.0009     2.2164     0.0008    0.00860    0.00174 
   33.100     80      -16.6     -17.0       2.2196     0.0010     2.2110     0.0006    0.00863    0.00158 
   33.105     80      -16.7     -17.2       2.2171     0.0007     2.2062     0.0004    0.01083    0.00100 
   33.110     80      -16.8     -17.4       2.2162     0.0004     2.2024     0.0002    0.01383    0.00040 
   33.115     80      -16.2     -16.9       2.2184     0.0006     2.2007     0.0003    0.01767    0.00040 
   33.120     80      -16.5     -17.3       2.2186     0.0009     2.1984     0.0009    0.02013    0.00035 
   33.125     80      -16.7     -17.5       2.2187     0.0012     2.1981     0.0013    0.02063    0.00015 
   33.130     80      -16.7     -17.3       2.2280     0.0004     2.2087     0.0006    0.01927    0.00049 
   33.135     80      -16.4     -16.8       2.2422     0.0004     2.2245     0.0005    0.01773    0.00015 
   33.140     80      -16.2     -16.5       2.2537     0.0002     2.2368     0.0003    0.01690    0.00035 
   33.145     80      -16.7     -16.9       2.2589     0.0005     2.2421     0.0003    0.01680    0.00044 
   33.175     81      -16.3     -15.6       2.2041     0.0016     2.1862     0.0014    0.01797    0.00144 
   33.180     81      -16.0     -15.3       2.2070     0.0009     2.1888     0.0003    0.01820    0.00061 
   33.185     81      -16.1     -16.1       2.2053     0.0007     2.1868     0.0006    0.01847    0.00102 
   33.190     81      -16.0     -16.5       2.2000     0.0010     2.1823     0.0006    0.01763    0.00093 
   33.195     81      -16.4     -17.1       2.1973     0.0005     2.1797     0.0007    0.01757    0.00021 
   33.200     81      -16.3     -17.0       2.1976     0.0006     2.1797     0.0007    0.01790    0.00062 
   33.205     81      -16.0     -16.8       2.2017     0.0011     2.1828     0.0013    0.01897    0.00021 
   33.210     81      -16.0     -16.9       2.2120     0.0002     2.1939     0.0007    0.01813    0.00051 
   33.215     81      -16.5     -17.5       2.2250     0.0004     2.2085     0.0011    0.01653    0.00091 
   33.220     81      -16.5     -17.5       2.2360     0.0004     2.2191     0.0005    0.01693    0.00021 
   33.225     81      -16.5     -17.2       2.2407     0.0004     2.2237     0.0006    0.01697    0.00064 
   33.230     81      -16.5     -17.1       2.2403     0.0004     2.2240     0.0003    0.01637    0.00015 
   33.235     81      -16.1     -16.5       2.2403     0.0003     2.2238     0.0005    0.01647    0.00032 
   33.240     81      -16.1     -16.4       2.2364     0.0005     2.2222     0.0006    0.01420    0.00046 
   33.245     81      -16.4     -16.6       2.2288     0.0002     2.2182     0.0007    0.01060    0.00052 
   33.250     81      -16.2     -16.3       2.2218     0.0002     2.2142     0.0002    0.00763    0.00006 
   33.255     81      -15.9     -15.9       2.2221     0.0009     2.2153     0.0002    0.00673    0.00081 
   33.260     81      -16.2     -16.1       2.2226     0.0009     2.2187     0.0007    0.00393    0.00097 
   33.265     81      -15.9     -15.7       2.2273     0.0003     2.2239     0.0008    0.00340    0.00095 
   33.270     81      -16.4     -16.1       2.2319     0.0005     2.2223     0.0007    0.00963    0.00095 
   33.275     81      -16.5     -16.1       2.2380     0.0011     2.2243     0.0005    0.01367    0.00064 
   33.280     81      -15.9     -15.5       2.2384     0.0013     2.2245     0.0010    0.01390    0.00044 
   33.285     81      -16.1     -15.7       2.2325     0.0008     2.2205     0.0013    0.01197    0.00058 
   33.290     81      -16.3     -15.8       2.2253     0.0007     2.2128     0.0012    0.01250    0.00070 
   33.295     81      -16.4     -15.9       2.2200     0.0008     2.2044     0.0006    0.01560    0.00020 
   33.300     81      -16.4     -15.9       2.2191     0.0009     2.2036     0.0005    0.01550    0.00121 
   33.305     81      -16.0     -15.5       2.2232     0.0009     2.2086     0.0004    0.01460    0.00121 
   33.310     81      -16.3     -15.7       2.2268     0.0008     2.2116     0.0003    0.01527    0.00051 
   33.315     81      -15.9     -15.3       2.2240     0.0008     2.2074     0.0004    0.01660    0.00062 
   33.320     81      -15.8     -15.2       2.2136     0.0009     2.1970     0.0006    0.01663    0.00040 
   33.325     81      -16.2     -15.5       2.2039     0.0016     2.1898     0.0008    0.01407    0.00078 
   33.330     81      -16.3     -16.3       2.2094     0.0007     2.1965     0.0007    0.01290    0.00044 
   33.335     81      -16.2     -16.6       2.2246     0.0004     2.2123     0.0002    0.01237    0.00029 
   33.340     81      -15.9     -16.5       2.2360     0.0005     2.2231     0.0004    0.01287    0.00035 
   33.345     81      -16.2     -17.0       2.2400     0.0006     2.2257     0.0003    0.01427    0.00038 
   33.350     81      -16.0     -16.7       2.2417     0.0006     2.2245     0.0008    0.01727    0.00029 
   33.355     81      -16.4     -17.2       2.2451     0.0003     2.2227     0.0005    0.02247    0.00061 
   33.360     81      -16.4     -17.2       2.2484     0.0005     2.2211     0.0000    0.02730    0.00046 
   33.365     81      -16.3     -17.1       2.2520     0.0003     2.2222     0.0004    0.02977    0.00025 
   33.370     81      -16.0     -16.8       2.2551     0.0005     2.2247     0.0009    0.03043    0.00050 
   33.375     81      -16.0     -16.6       2.2522     0.0003     2.2226     0.0005    0.02953    0.00075 
   33.380     81      -16.4     -16.8       2.2463     0.0023     2.2190     0.0013    0.02730    0.00120 
   33.385     81      -15.9     -16.3       2.2469     0.0009     2.2207     0.0003    0.02620    0.00072 
   33.390     81      -16.5     -16.7       2.2467     0.0008     2.2206     0.0006    0.02610    0.00026 
   33.395     81      -15.9     -16.0       2.2487     0.0004     2.2214     0.0002    0.02737    0.00047 
   33.400     81      -15.9     -15.9       2.2507     0.0004     2.2245     0.0003    0.02620    0.00053 
   33.405     81      -15.9     -15.9       2.2491     0.0003     2.2270     0.0003    0.02213    0.00021 
   33.410     81      -16.2     -16.1       2.2412     0.0003     2.2253     0.0006    0.01590    0.00036 
   33.415     81      -15.8     -15.6       2.2286     0.0003     2.2196     0.0002    0.00900    0.00026 
   33.420     81      -16.3     -16.0       2.2157     0.0003     2.2093     0.0005    0.00633    0.00023 
   33.425     81      -15.9     -15.5       2.2079     0.0003     2.1997     0.0005    0.00820    0.00075 
   33.430     81      -16.1     -15.7       2.2074     0.0004     2.1986     0.0012    0.00880    0.00082 
   33.435     81      -16.2     -15.8       2.2099     0.0006     2.2022     0.0002    0.00770    0.00040 
   33.440     81      -15.9     -15.4       2.2115     0.0006     2.2016     0.0004    0.00983    0.00042 
   33.445     81      -15.7     -15.2       2.2135     0.0006     2.2004     0.0005    0.01303    0.00015 
   33.450     81      -16.2     -15.7       2.2199     0.0002     2.2050     0.0003    0.01490    0.00017 
   33.455     81      -16.2     -15.7       2.2252     0.0006     2.2085     0.0004    0.01670    0.00020 
   33.460     81      -16.2     -15.7       2.2286     0.0004     2.2113     0.0002    0.01727    0.00029 
   33.465     81      -16.1     -15.5       2.2262     0.0003     2.2106     0.0003    0.01560    0.00017 
   33.470     81      -16.2     -15.6       2.2184     0.0005     2.2039     0.0002    0.01447    0.00065 
   33.475     81      -15.9     -15.7       2.2093     0.0011     2.1997     0.0010    0.00960    0.00026 
   33.480     81      -16.2     -16.6       2.2050     0.0011     2.1955     0.0005    0.00950    0.00061 
   33.485     81      -15.7     -16.4       2.2056     0.0009     2.1958     0.0003    0.00977    0.00067 
   33.490     81      -15.8     -16.6       2.2093     0.0003     2.1961     0.0012    0.01323    0.00134 
   33.495     81      -16.3     -17.3       2.2162     0.0002     2.2017     0.0003    0.01450    0.00040 
   33.500     81      -15.8     -16.7       2.2232     0.0009     2.2063     0.0015    0.01690    0.00061 
   33.505     81      -16.4     -17.4       2.2275     0.0009     2.2096     0.0008    0.01790    0.00075 
   33.510     81      -15.8     -16.7       2.2250     0.0013     2.2074     0.0008    0.01753    0.00064 
   33.515     81      -16.1     -16.8       2.2173     0.0009     2.1994     0.0009    0.01790    0.00044 
   33.520     81      -15.9     -16.5       2.2084     0.0004     2.1897     0.0004    0.01873    0.00074 
   33.525     81      -16.0     -16.5       2.2023     0.0003     2.1840     0.0006    0.01830    0.00053 
   33.530     81      -16.4     -16.8       2.1981     0.0003     2.1797     0.0007    0.01840    0.00046 
   33.535     81      -15.9     -16.1       2.1933     0.0008     2.1730     0.0010    0.02030    0.00036 
   33.540     81      -16.5     -16.6       2.1897     0.0002     2.1689     0.0000    0.02083    0.00023 
   33.545     81      -16.3     -16.4       2.1903     0.0007     2.1701     0.0007    0.02023    0.00046 
   33.550     81      -16.0     -16.0       2.1880     0.0012     2.1715     0.0010    0.01650    0.00053 
   33.555     81      -16.4     -16.3       2.1895     0.0018     2.1746     0.0006    0.01493    0.00142 
   33.560     81      -15.8     -15.6       2.1962     0.0015     2.1820     0.0006    0.01423    0.00086 
   33.565     81      -16.3     -16.0       2.2046     0.0008     2.1894     0.0005    0.01520    0.00030 
   33.570     81      -15.9     -15.6       2.2131     0.0010     2.1957     0.0009    0.01737    0.00045 
   33.575     81      -15.9     -15.5       2.2232     0.0011     2.2025     0.0008    0.02077    0.00047 
   33.580     81      -16.2     -15.8       2.2325     0.0010     2.2089     0.0011    0.02360    0.00056 
   33.585     81      -15.7     -15.3       2.2382     0.0016     2.2137     0.0022    0.02453    0.00074 
   33.590     81      -16.2     -15.7       2.2396     0.0009     2.2164     0.0020    0.02313    0.00134 
   33.595     81      -16.0     -15.5       2.2342     0.0018     2.2134     0.0018    0.02080    0.00095 
   33.600     81      -15.8     -15.3       2.2253     0.0018     2.2055     0.0019    0.01983    0.00042 
   33.605     81      -16.3     -15.8       2.2174     0.0016     2.1970     0.0011    0.02040    0.00098 
   33.610     81      -15.9     -15.3       2.2085     0.0008     2.1898     0.0006    0.01873    0.00064 
   33.615     81      -16.2     -15.6       2.2003     0.0010     2.1827     0.0006    0.01757    0.00075 
